"","Selection","View","Channel","Begin_Time","End_Time","Low_Freq","High_Freq","Begin_Date","Begin_Clock","End_Clock","Delta_Time_s","Behavior","Partial","Notes","Begin_file_date","Dep","Site_ID","DeltaHours","Hr_time","Hr_local","Begin_Hour_loc","Begin_Date_loc","Weekday"
"58",1,"Spectrogram 1",1,14506.25108714,22992.607208566,46.973,5284.848,2023-08-14,06:28:31,08:49:56,8486.3561,"Transit",NA,"LTSA, no sound clip due to ambient noise","2023/8/14","202306","ABW",2.35732113888889,2023-08-14 06:28:31,2023-08-14 14:28:31,14,2023-08-14,"Monday"
"59",2,"Spectrogram 1",1,71520.09445564,76211.627090675,31.315,4864.301,2023-08-14,22:18:41,23:36:53,4691.5326,"Transit",NA,NA,"2023/8/14","202306","ABW",1.3032035,2023-08-14 22:18:41,2023-08-15 06:18:41,6,2023-08-15,"Tuesday"
"60",1,"Spectrogram 1",1,22172.136728558,25026.635787795,22.143,4154.489,2023-08-16,08:35:57,09:23:31,2854.4991,"Transit",NA,NA,"2023/8/16","202306","ABW",0.792916416666667,2023-08-16 08:35:57,2023-08-16 16:35:57,16,2023-08-16,"Wednesday"
"61",1,"Spectrogram 1",1,40438.234926417,42628.409558499,22.143,5574.113,2023-08-18,13:40:08,14:16:38,2190.1746,"Transit",NA,NA,"2023/8/18","202306","ABW",0.608381833333333,2023-08-18 13:40:08,2023-08-18 21:40:08,21,2023-08-18,"Friday"
"62",1,"Spectrogram 1",1,61460.5879328,66594.344915605,26.096,7849.687,2023-08-23,19:29:46,20:55:18,5133.757,"Transit",NA,NA,"2023/8/23","202306","ABW",1.42604361111111,2023-08-23 19:29:46,2023-08-24 03:29:46,3,2023-08-24,"Thursday"
"63",1,"Spectrogram 1",1,45891.54505354,50423.343682088,20.877,12609.603,2023-08-24,15:10:09,16:25:41,4531.7986,"Transit",NA,NA,"2023/8/24","202306","ABW",1.25883294444444,2023-08-24 15:10:09,2023-08-24 23:10:09,23,2023-08-24,"Thursday"
"64",2,"Spectrogram 1",1,54069.105640628,59548.42695274,22.143,3203.386,2023-08-24,17:26:27,18:57:46,5479.3213,"Transit",NA,NA,"2023/8/24","202306","ABW",1.52203369444444,2023-08-24 17:26:27,2023-08-25 01:26:27,1,2023-08-25,"Friday"
"65",3,"Spectrogram 1",1,65219.871968562,74791.246717747,20.877,14446.764,2023-08-24,20:32:16,23:11:48,9571.3747,"Transit",NA,NA,"2023/8/24","202306","ABW",2.65871519444444,2023-08-24 20:32:16,2023-08-25 04:32:16,4,2023-08-25,"Friday"
"66",1,"Spectrogram 1",1,23834.725915709,28142.645112091,20.877,17478.381,2023-08-25,09:02:25,10:14:13,4307.9192,"Transit",NA,NA,"2023/8/25","202306","ABW",1.19664422222222,2023-08-25 09:02:25,2023-08-25 17:02:25,17,2023-08-25,"Friday"
"67",2,"Spectrogram 1",1,52569.408931324,58437.103152761,33.215,2359.081,2023-08-25,17:01:18,18:39:06,5867.6942,"Transit",NA,NA,"2023/8/25","202306","ABW",1.62991505555556,2023-08-25 17:01:18,2023-08-26 01:01:18,1,2023-08-26,"Saturday"
"68",1,"Spectrogram 1",1,16156.989421354,27507.102546419,26.096,3808.634,2023-08-26,06:54:20,10:03:30,11350.1131,"Transit",NA,NA,"2023/8/26","202306","ABW",3.15280919444444,2023-08-26 06:54:20,2023-08-26 14:54:20,14,2023-08-26,"Saturday"
"69",1,"Spectrogram 1",1,10349.378197216,15645.480633115,29.524,4738.649,2023-08-30,05:16:54,06:45:10,5296.1024,"Maneuver",NA,NA,"2023/8/30","202306","ABW",1.47113955555556,2023-08-30 05:16:54,2023-08-30 13:16:54,13,2023-08-30,"Wednesday"
"70",2,"Spectrogram 1",1,77634.03453071,81868.707551444,26.096,3469.104,2023-08-30,23:58:15,01:08:49,4234.673,"Transit",NA,"no sound clip due to ambient noise","2023/8/30","202306","ABW",1.17629805555556,2023-08-30 23:58:15,2023-08-31 07:58:15,7,2023-08-31,"Thursday"
"71",1,"Spectrogram 1",1,15836.490763165,23348.522918913,32.616,3809.505,2023-08-31,06:48:12,08:53:23,7512.0322,"Transit",NA,NA,"2023/8/31","202306","ABW",2.08667561111111,2023-08-31 06:48:12,2023-08-31 14:48:12,14,2023-08-31,"Thursday"
"72",2,"Spectrogram 1",1,26469.084571595,31329.40619157,13.838,21552.406,2023-08-31,09:45:24,11:06:24,4860.3216,"Maneuver",NA,NA,"2023/8/31","202306","ABW",1.35008933333333,2023-08-31 09:45:24,2023-08-31 17:45:24,17,2023-08-31,"Thursday"
"73",3,"Spectrogram 1",1,37920.307307698,43671.217376812,36.9,6789.668,2023-08-31,12:56:15,14:32:05,5750.9101,"Transit",NA,NA,"2023/8/31","202306","ABW",1.59747502777778,2023-08-31 12:56:15,2023-08-31 20:56:15,20,2023-08-31,"Thursday"
"74",4,"Spectrogram 1",1,74254.594985495,77735.310880559,32.616,5904.059,2023-08-31,23:01:47,23:59:47,3480.7159,"Transit",NA,NA,"2023/8/31","202306","ABW",0.966865527777778,2023-08-31 23:01:47,2023-09-01 07:01:47,7,2023-09-01,"Friday"
"75",1,"Spectrogram 1",1,6004.963329993,11959.338706352,26.096,1786.22,2023-09-01,04:04:10,05:43:25,5954.3754,"Maneuver",NA,NA,"2023/9/1","202306","ABW",1.65399316666667,2023-09-01 04:04:10,2023-09-01 12:04:10,12,2023-09-01,"Friday"
"76",2,"Spectrogram 1",1,46149.993769914,51765.274063458,29.524,1263.048,2023-09-01,15:13:13,16:46:48,5615.2803,"Transit",NA,NA,"2023/9/1","202306","ABW",1.55980008333333,2023-09-01 15:13:13,2023-09-01 23:13:13,23,2023-09-01,"Friday"
"77",1,"Spectrogram 1",1,41782.374014989,43590.532439597,19.215,24000,2023-09-02,14:00:17,14:30:24,1808.1584,"Transit",NA,NA,"2023/9/2","202306","ABW",0.502266222222222,2023-09-02 14:00:17,2023-09-02 22:00:17,22,2023-09-02,"Saturday"
"78",1,"Spectrogram 1",1,50868.794279988,56280.126777087,7.381,14029.228,2023-09-03,16:31:32,18:01:43,5411.3325,"Transit",NA,NA,"2023/9/3","202306","ABW",1.50314791666667,2023-09-03 16:31:32,2023-09-04 00:31:32,0,2023-09-04,"Monday"
"79",2,"Spectrogram 1",1,62346.207580705,67201.343054912,44.286,7787.056,2023-09-03,19:42:50,21:03:43,4855.1355,"Transit",NA,NA,"2023/9/3","202306","ABW",1.34864875,2023-09-03 19:42:50,2023-09-04 03:42:50,3,2023-09-04,"Monday"
"80",1,"Spectrogram 1",1,6499.211929265,11608.098177025,29.524,5521.043,2023-09-05,04:11:48,05:36:57,5108.8862,"Transit",NA,NA,"2023/9/5","202306","ABW",1.41913505555556,2023-09-05 04:11:48,2023-09-05 12:11:48,12,2023-09-05,"Tuesday"
