"","Selection","View","Channel","Begin_Time","End_Time","Low_Freq","High_Freq","Begin_Date","Begin_Clock","End_Clock","Delta_Time_s","Behavior","Partial","Notes","Begin_file_date","Dep","Site_ID","DeltaHours","Hr_time","Hr_local","Begin_Hour_loc","Begin_Date_loc","Weekday"
"51",3,"Spectrogram 1",1,8854.985571,9144.726777,73.9,10076,2025-01-15,04:33:44,04:38:34,289.7412,"Maneuver",NA,NA,"1/15/2025","202411","BRW",0.0804836666666667,2025-01-15 04:33:44,2025-01-15 12:33:44,12,2025-01-15,"Wednesday"
"52",4,"Spectrogram 1",1,10033.58543,10293.92965,85.6,6291.4,2025-01-15,04:53:23,04:57:43,260.3442,"Maneuver",NA,NA,"1/15/2025","202411","BRW",0.0723178333333333,2025-01-15 04:53:23,2025-01-15 12:53:23,12,2025-01-15,"Wednesday"
"53",5,"Spectrogram 1",1,11139.86558,11368.04271,142.6,6076.3,2025-01-15,05:11:49,05:15:37,228.1771,"Maneuver",NA,NA,"1/15/2025","202411","BRW",0.0633825277777778,2025-01-15 05:11:49,2025-01-15 13:11:49,13,2025-01-15,"Wednesday"
"54",6,"Spectrogram 1",1,12204.61055,12527.27638,85.6,12053.2,2025-01-15,05:29:34,05:34:56,322.6658,"Maneuver",NA,NA,"1/15/2025","202411","BRW",0.0896293888888889,2025-01-15 05:29:34,2025-01-15 13:29:34,13,2025-01-15,"Wednesday"
"55",7,"Spectrogram 1",1,13722.67337,15513.94472,117.6,5646.4,2025-01-15,05:54:52,06:24:43,1791.2714,"Maneuver",NA,"LTSA","1/15/2025","202411","BRW",0.497575388888889,2025-01-15 05:54:52,2025-01-15 13:54:52,13,2025-01-15,"Wednesday"
"56",1,"Spectrogram 1",1,54924.36181,60567.75126,31,5807,2025-01-18,17:21:21,18:55:25,5643.3894,"Transit",NA,NA,"1/18/2025","202411","BRW",1.56760816666667,2025-01-18 17:21:21,2025-01-19 01:21:21,1,2025-01-19,"Sunday"
"57",1,"Spectrogram 1",1,523.4170854,5648.080402,27.1,3682.6,2025-01-23,02:14:19,03:39:44,5124.6633,"Maneuver",NA,NA,"1/23/2025","202411","BRW",1.42351758333333,2025-01-23 02:14:19,2025-01-23 10:14:19,10,2025-01-23,"Thursday"
"58",2,"Spectrogram 1",1,10152.84925,11097.14824,32,19891.5,2025-01-23,04:54:49,05:10:33,944.299,"Transit",NA,NA,"1/23/2025","202411","BRW",0.262305277777778,2025-01-23 04:54:49,2025-01-23 12:54:49,12,2025-01-23,"Thursday"
"59",1,"Spectrogram 1",1,63790.22864,72852.39196,25.1,3658.8,2025-01-25,19:48:38,22:19:40,9062.1633,"Transit",NA,NA,"1/25/2025","202411","BRW",2.51726758333333,2025-01-25 19:48:38,2025-01-26 03:48:38,3,2025-01-26,"Sunday"
"60",1,"Spectrogram 1",1,15139.13065,16241.0201,32,17550.3,2025-01-26,06:17:43,06:36:05,1101.8894,"Transit",NA,NA,"1/26/2025","202411","BRW",0.306080388888889,2025-01-26 06:17:43,2025-01-26 14:17:43,14,2025-01-26,"Sunday"
"61",1,"Spectrogram 1",1,14834.4196,16200.06784,37,22304.5,2025-01-29,06:12:25,06:35:11,1365.6482,"Transit",NA,NA,"1/29/2025","202411","BRW",0.379346722222222,2025-01-29 06:12:25,2025-01-29 14:12:25,14,2025-01-29,"Wednesday"
"62",2,"Spectrogram 1",1,50516.30402,56113.3995,19.3,1247.6,2025-01-29,16:07:07,17:40:24,5597.0955,"Transit",NA,NA,"1/29/2025","202411","BRW",1.55474875,2025-01-29 16:07:07,2025-01-30 00:07:07,0,2025-01-30,"Thursday"
"63",1,"Spectrogram 1",1,1647.81407,5007.414573,50.5,21299.8,2025-02-10,02:31:33,03:27:32,3359.6005,"Maneuver",NA,NA,"2/10/2025","202411","BRW",0.933222361111111,2025-02-10 02:31:33,2025-02-10 10:31:33,10,2025-02-10,"Monday"
"64",1,"Spectrogram 1",1,53750.9397,56312.77387,18.6,6855.2,2025-02-13,16:59:42,17:42:24,2561.8342,"Transit",NA,NA,"2/13/2025","202411","BRW",0.711620611111111,2025-02-13 16:59:42,2025-02-14 00:59:42,0,2025-02-14,"Friday"
"65",1,"Spectrogram 1",1,39457.76382,41249.6005,178.9,1120.7,2025-02-22,13:00:42,13:30:34,1791.8367,"Transit",NA,NA,"2/22/2025","202411","BRW",0.497732416666667,2025-02-22 13:00:42,2025-02-22 21:00:42,21,2025-02-22,"Saturday"
"66",1,"Spectrogram 1",1,28369.16834,35466.88945,15.9,804.1,2025-02-24,09:55:40,11:53:58,7097.7211,"Transit",NA,NA,"2/24/2025","202411","BRW",1.97158919444444,2025-02-24 09:55:40,2025-02-24 17:55:40,17,2025-02-24,"Monday"
"67",1,"Spectrogram 1",1,29737.53769,40420.60804,15.6,1216.5,2025-02-25,10:18:22,13:16:25,10683.0704,"Transit",NA,NA,"2/25/2025","202411","BRW",2.96751955555556,2025-02-25 10:18:22,2025-02-25 18:18:22,18,2025-02-25,"Tuesday"
