"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
224,97.7853745990754,117.264746846168,"8035.240429192700_sel37_538.2699478.wav",538.2699478,-176.6,40,1000
53,99.1694886337671,117.320632131834,"8035.240429192700_sel38_556.481448.wav",556.481448,-176.6,40,1000
123,96.8975861484591,116.776090115114,"8035.240429192700_sel39_551.1619362.wav",551.1619362,-176.6,40,1000
121,98.5192949246727,117.241178877407,"8035.240429192700_sel40_531.2639985.wav",531.2639985,-176.6,40,1000
216,98.2002498457163,118.139448240478,"8035.240429192700_sel41_479.5903973.wav",479.5903973,-176.6,40,1000
53,102.642085006374,118.173118625762,"8035.240429192700_sel42_455.652151.wav",455.652151,-176.6,40,1000
162,99.4556138815963,117.682857552839,"8035.240429192700_sel43_418.2303646.wav",418.2303646,-176.6,40,1000
159,98.7849105987079,117.578758188567,"8035.240429192700_sel44_439.4285107.wav",439.4285107,-176.6,40,1000
161,98.3074230063135,116.62552754243,"8035.240429192700_sel45_485.554365.wav",485.554365,-176.6,40,1000
121,98.1817297790315,115.442715941746,"8035.240429192700_sel46_542.1739859.wav",542.1739859,-176.6,40,1000
119,94.8256836774563,114.196491986772,"8035.240429192700_sel47_601.5358123.wav",601.5358123,-176.6,40,1000
268,92.7367484513906,113.730648052945,"8035.240429192700_sel48_603.1099119.wav",603.1099119,-176.6,40,1000
162,93.8250910794623,114.671136795467,"8035.240429192700_sel49_544.693644.wav",544.693644,-176.6,40,1000
215,96.6339994157632,116.487855684301,"8035.240429192700_sel50_464.1459939.wav",464.1459939,-176.6,40,1000
54,98.726786873358,117.463659935627,"8035.240429192700_sel51_469.5813609.wav",469.5813609,-176.6,40,1000
53,103.192712428283,118.829670838667,"8035.240429192700_sel52_472.3940111.wav",472.3940111,-176.6,40,1000
53,103.461751945241,119.443507861049,"8035.240429192700_sel53_477.8528391.wav",477.8528391,-176.6,40,1000
211,103.183415449769,119.029975082686,"8035.240429192700_sel54_489.5033947.wav",489.5033947,-176.6,40,1000
54,101.235814174188,116.570744297337,"8035.240429192700_sel55_543.6789712.wav",543.6789712,-176.6,40,1000
54,101.071783021532,116.395729587847,"8035.240429192700_sel56_551.1076781.wav",551.1076781,-176.6,40,1000
54,99.2746234862686,115.291679400529,"8035.240429192700_sel57_587.1894702.wav",587.1894702,-176.6,40,1000
54,100.150049264873,115.530180894739,"8035.240429192700_sel58_599.5832564.wav",599.5832564,-176.6,40,1000
119,94.8210200539005,114.309597180366,"8035.240429192700_sel59_622.6491993.wav",622.6491993,-176.6,40,1000
