"","Begin_Date","Begin_Hour","Maneuver","Transit"
"1408",2025-01-24,15,0,0
"1409",2025-01-24,16,0,0
"1410",2025-01-24,17,0,0
"1411",2025-01-24,18,0,0
"1412",2025-01-24,19,0,0
"1413",2025-01-24,20,0,0
"1414",2025-01-24,21,0,0
"1415",2025-01-24,22,0,0
"1416",2025-01-24,23,0,0
"1417",2025-01-25,0,0,0
"1418",2025-01-25,1,0,0
"1419",2025-01-25,2,0,0
"1420",2025-01-25,3,0,0
"1421",2025-01-25,4,0,0
"1422",2025-01-25,5,0,0
"1423",2025-01-25,6,0,0
"1424",2025-01-25,7,0,0
"1425",2025-01-25,8,0,0
"1426",2025-01-25,9,0,0
"1427",2025-01-25,10,0,0
"1428",2025-01-25,11,0,0
"1429",2025-01-25,12,0,0
"1430",2025-01-25,13,0,0
"1431",2025-01-25,14,0,0
"1432",2025-01-25,15,0,0
"1433",2025-01-25,16,0,0
"1434",2025-01-25,17,0,0
"1435",2025-01-25,18,0,0
"1436",2025-01-25,19,0,1
"1437",2025-01-25,20,0,0
"1438",2025-01-25,21,0,0
"1439",2025-01-25,22,0,0
"1440",2025-01-25,23,0,0
"1441",2025-01-26,0,0,0
"1442",2025-01-26,1,0,0
"1443",2025-01-26,2,0,0
"1444",2025-01-26,3,0,0
"1445",2025-01-26,4,0,0
"1446",2025-01-26,5,0,0
"1447",2025-01-26,6,0,1
"1448",2025-01-26,7,0,0
"1449",2025-01-26,8,0,0
"1450",2025-01-26,9,0,0
"1451",2025-01-26,10,0,0
"1452",2025-01-26,11,0,0
"1453",2025-01-26,12,0,0
"1454",2025-01-26,13,0,0
"1455",2025-01-26,14,0,0
"1456",2025-01-26,15,0,0
"1457",2025-01-26,16,0,0
"1458",2025-01-26,17,0,0
"1459",2025-01-26,18,0,0
"1460",2025-01-26,19,0,0
"1461",2025-01-26,20,0,0
"1462",2025-01-26,21,0,0
"1463",2025-01-26,22,0,0
"1464",2025-01-26,23,0,0
"1465",2025-01-27,0,0,0
"1466",2025-01-27,1,0,0
"1467",2025-01-27,2,0,0
"1468",2025-01-27,3,0,0
"1469",2025-01-27,4,0,0
"1470",2025-01-27,5,0,0
"1471",2025-01-27,6,0,0
"1472",2025-01-27,7,0,0
"1473",2025-01-27,8,0,0
"1474",2025-01-27,9,0,0
"1475",2025-01-27,10,0,0
"1476",2025-01-27,11,0,0
"1477",2025-01-27,12,0,0
"1478",2025-01-27,13,0,0
"1479",2025-01-27,14,0,0
"1480",2025-01-27,15,0,0
"1481",2025-01-27,16,0,0
"1482",2025-01-27,17,0,0
"1483",2025-01-27,18,0,0
"1484",2025-01-27,19,0,0
"1485",2025-01-27,20,0,0
"1486",2025-01-27,21,0,0
"1487",2025-01-27,22,0,0
"1488",2025-01-27,23,0,0
"1489",2025-01-28,0,0,0
"1490",2025-01-28,1,0,0
"1491",2025-01-28,2,0,0
"1492",2025-01-28,3,0,0
"1493",2025-01-28,4,0,0
"1494",2025-01-28,5,0,0
"1495",2025-01-28,6,0,0
"1496",2025-01-28,7,0,0
"1497",2025-01-28,8,0,0
"1498",2025-01-28,9,0,0
"1499",2025-01-28,10,0,0
"1500",2025-01-28,11,0,0
"1501",2025-01-28,12,0,0
"1502",2025-01-28,13,0,0
"1503",2025-01-28,14,0,0
"1504",2025-01-28,15,0,0
"1505",2025-01-28,16,0,0
"1506",2025-01-28,17,0,0
"1507",2025-01-28,18,0,0
"1508",2025-01-28,19,0,0
"1509",2025-01-28,20,0,0
"1510",2025-01-28,21,0,0
"1511",2025-01-28,22,0,0
"1512",2025-01-28,23,0,0
"1513",2025-01-29,0,0,0
"1514",2025-01-29,1,0,0
"1515",2025-01-29,2,0,0
"1516",2025-01-29,3,0,0
"1517",2025-01-29,4,0,0
"1518",2025-01-29,5,0,0
"1519",2025-01-29,6,0,1
"1520",2025-01-29,7,0,0
"1521",2025-01-29,8,0,0
"1522",2025-01-29,9,0,0
"1523",2025-01-29,10,0,0
"1524",2025-01-29,11,0,0
"1525",2025-01-29,12,0,0
"1526",2025-01-29,13,0,0
"1527",2025-01-29,14,0,0
"1528",2025-01-29,15,0,0
"1529",2025-01-29,16,0,1
"1530",2025-01-29,17,0,0
"1531",2025-01-29,18,0,0
"1532",2025-01-29,19,0,0
"1533",2025-01-29,20,0,0
"1534",2025-01-29,21,0,0
"1535",2025-01-29,22,0,0
"1536",2025-01-29,23,0,0
"1537",2025-01-30,0,0,0
"1538",2025-01-30,1,0,0
"1539",2025-01-30,2,0,0
"1540",2025-01-30,3,0,0
"1541",2025-01-30,4,0,0
"1542",2025-01-30,5,0,0
"1543",2025-01-30,6,0,0
"1544",2025-01-30,7,0,0
"1545",2025-01-30,8,0,0
"1546",2025-01-30,9,0,0
"1547",2025-01-30,10,0,0
"1548",2025-01-30,11,0,0
"1549",2025-01-30,12,0,0
"1550",2025-01-30,13,0,0
"1551",2025-01-30,14,0,0
"1552",2025-01-30,15,0,0
"1553",2025-01-30,16,0,0
"1554",2025-01-30,17,0,0
